"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.2,1,NA,1,1.14218616485596,1,0.705262660980225
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.4,1,NA,1,1.10586929321289,1,0.702653169631958
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.6,1,NA,1,1.16415762901306,1,0.761902093887329
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",0.8,0.8,1,NA,1,1.30428385734558,1,0.741892337799072
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0,1,NA,1,1.09852433204651,1,0.719437599182129
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.2,1,NA,1,1.09873270988464,1,0.702153921127319
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.4,1,NA,1,1.1457085609436,1,0.707684755325317
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.6,1,NA,1,1.14271807670593,1,0.722700595855713
"Datos sin transformar","mvnorm",0.01,1000,300,3,"unequal",1,0.8,1,NA,1,1.28369665145874,1,0.725276947021484
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0,1,NA,0,1.08529114723206,0,0.745626449584961
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.2,1,NA,0,1.14080047607422,0,0.69913649559021
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.4,1,NA,0,1.17283058166504,0,0.71671724319458
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.6,1,NA,0,1.14866042137146,0,0.699858903884888
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0,0.8,1,NA,0.001,1.07516574859619,0,0.722522258758545
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0,1,NA,0.736,1.09378433227539,0.698,0.699704170227051
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.2,1,NA,0.682,1.11446857452393,0.464,0.719528436660767
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.4,1,NA,0.485,1.13471007347107,0.26,0.700888395309448
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.6,1,NA,0.383,1.11728596687317,0.172,0.723825931549072
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.2,0.8,1,NA,0.279,1.14585900306702,0.123,0.725266695022583
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0,1,NA,1,1.12028312683105,1,0.702309846878052
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.2,1,NA,1,1.07894945144653,1,0.761342287063599
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.4,1,NA,1,1.10007333755493,0.998,0.705538988113403
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.6,1,NA,0.998,1.37155389785767,0.988,0.701578140258789
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.4,0.8,1,NA,0.994,1.0884485244751,0.955,0.739698886871338
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0,1,NA,1,1.1228461265564,1,0.786524295806885
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.2,1,NA,1,1.33211421966553,1,0.759974241256714
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.4,1,NA,1,1.21302962303162,1,0.741999864578247
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.6,1,NA,1,1.1341404914856,1,0.71605920791626
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.6,0.8,1,NA,1,1.60598015785217,1,0.691484928131104
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0,1,NA,1,1.10021591186523,1,0.738898754119873
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.2,1,NA,1,1.13615274429321,1,0.662627220153809
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.4,1,NA,1,1.13495326042175,1,0.680793523788452
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.6,1,NA,1,1.14405226707458,1,0.702864170074463
"Datos sin transformar","mvnorm",0.001,1000,300,3,"equal",0.8,0.8,1,NA,1,1.19024229049683,1,0.702852725982666
