"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",0.093,0.691699981689453
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",0.089,0.69641900062561
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",0.049,0.756426811218262
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",0.091,0.885924577713013
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.0525,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",0.082,0.672691106796265
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",0.079,0.665839195251465
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",0.051,0.728882074356079
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",0.08,0.671867370605469
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.0525,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",0.079,0.683099269866943
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",0.077,0.68779730796814
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",0.05,0.738576889038086
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",0.078,0.67195200920105
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.0525,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",0.199,0.691969633102417
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",0.195,0.894027709960938
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",0.045,0.761045694351196
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",0.195,0.684727191925049
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",NA,NA
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.07,1000,"MANOVA",NA,NA
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANOVA",0.139,0.666354894638062
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANOVA",0.139,0.684352397918701
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANOVA",0.052,0.789265632629395
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.07,1000,"MANOVA",0.139,0.68145489692688
