"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.144,1.12321448326111,"MANOVA",0.101,0.763570785522461,4.3,35.1020408163265
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.142,1.11235475540161,"MANOVA",0.1,0.799877882003784,4.2,34.7107438016529
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.06,1000,"MANTA",0.146,1.11585164070129,"MANOVA",0.1,0.696739912033081,4.6,37.3983739837398
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.134,1.16147828102112,"MANOVA",0.095,0.701751232147217,3.9,34.061135371179
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.132,1.13234829902649,"MANOVA",0.095,0.810485601425171,3.7,32.5991189427313
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.058,1.16142106056213,"MANOVA",0.054,0.775066137313843,0.4,7.14285714285715
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.135,1.0995876789093,"MANOVA",0.096,0.695471048355103,3.9,33.7662337662338
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.132,1.1260838508606,"MANOVA",0.095,0.711950063705444,3.7,32.5991189427313
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.06,1000,"MANTA",0.129,1.10329580307007,"MANOVA",0.095,0.760333299636841,3.4,30.3571428571429
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.12,1.15341973304749,"MANOVA",0.087,0.785237789154053,3.3,31.8840579710145
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.116,1.48445653915405,"MANOVA",0.081,0.764050245285034,3.5,35.5329949238579
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.052,1.12290716171265,"MANOVA",0.052,0.77620267868042,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.119,1.10851454734802,"MANOVA",0.082,0.832596063613892,3.7,36.8159203980099
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.121,1.08837509155273,"MANOVA",0.087,0.73423433303833,3.4,32.6923076923077
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.06,1000,"MANTA",0.119,1.09386920928955,"MANOVA",0.087,0.694847106933594,3.2,31.0679611650485
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.302,1.1874213218689,"MANOVA",0.301,0.700782775878906,0.1,0.33167495854063
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.304,1.11318349838257,"MANOVA",0.3,0.7210533618927,0.4,1.32450331125828
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.056,1.22543883323669,"MANOVA",0.056,0.79478120803833,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.3,1.11907339096069,"MANOVA",0.301,0.735857009887695,0.1,0.332778702163062
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.311,1.08335638046265,"MANOVA",0.301,0.712531805038452,1,3.26797385620915
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.09,1000,"MANTA",0.312,1.08215022087097,"MANOVA",0.301,0.71309494972229,1.1,3.5889070146819
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.326,1.11190986633301,"MANOVA",0.229,0.750972509384155,9.7,34.954954954955
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.326,1.5089316368103,"MANOVA",0.225,0.726475477218628,10.1,36.6606170598911
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.049,1.25129961967468,"MANOVA",0.049,0.817304611206055,0,0
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.327,1.09918642044067,"MANOVA",0.225,0.696048498153687,10.2,36.9565217391304
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.323,1.14447164535522,"MANOVA",0.229,0.693458557128906,9.4,34.0579710144928
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.09,1000,"MANTA",0.32,1.08360528945923,"MANOVA",0.229,0.735033512115479,9.1,33.1511839708561
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.13302969932556,"MANOVA",0.182,0.783590793609619,7.8,35.2941176470588
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.261,1.1915111541748,"MANOVA",0.179,0.680950880050659,8.2,37.2727272727273
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.061,1.14164209365845,"MANOVA",0.047,0.793464183807373,1.4,25.9259259259259
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.10695433616638,"MANOVA",0.18,0.714933156967163,8,36.3636363636364
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.259,1.12286472320557,"MANOVA",0.182,0.741678237915039,7.7,34.9206349206349
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.09,1000,"MANTA",0.26,1.06372213363647,"MANOVA",0.182,0.71294379234314,7.8,35.2941176470588
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.229,1.13298177719116,"MANOVA",0.157,0.70390796661377,7.2,37.3056994818653
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.231,1.13795208930969,"MANOVA",0.151,0.725752830505371,8,41.8848167539267
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.061,1.16481328010559,"MANOVA",0.055,0.838849306106567,0.6,10.3448275862069
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.233,1.11988615989685,"MANOVA",0.154,0.73492169380188,7.9,40.8268733850129
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.229,1.09762263298035,"MANOVA",0.157,0.781590938568115,7.2,37.3056994818653
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.09,1000,"MANTA",0.232,1.12382912635803,"MANOVA",0.157,0.693492412567139,7.5,38.560411311054
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.202,1.13200998306274,"MANOVA",0.132,0.740456104278564,7,41.9161676646707
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.208,1.13314461708069,"MANOVA",0.13,0.70061445236206,7.8,46.1538461538462
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.056,1.16725850105286,"MANOVA",0.053,0.773557424545288,0.3,5.50458715596331
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.205,1.18632030487061,"MANOVA",0.135,0.807592153549194,7,41.1764705882353
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.201,1.11048865318298,"MANOVA",0.132,1.10137867927551,6.9,41.4414414414414
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.09,1000,"MANTA",0.2,1.06179738044739,"MANOVA",0.132,0.71370530128479,6.8,40.9638554216867
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.542,1.13977527618408,"MANOVA",0.543,0.700185537338257,0.1,0.184331797235023
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.546,1.11327266693115,"MANOVA",0.542,0.700992584228516,0.4,0.735294117647059
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.06,1.19190502166748,"MANOVA",0.056,0.81592869758606,0.4,6.89655172413793
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.548,1.13931751251221,"MANOVA",0.543,0.715299844741821,0.5,0.916590284142989
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.549,1.08405017852783,"MANOVA",0.543,0.692802429199219,0.6,1.0989010989011
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.12,1000,"MANTA",0.534,1.1734676361084,"MANOVA",0.543,0.716090679168701,0.900000000000001,1.67130919220056
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.558,1.13343524932861,"MANOVA",0.411,0.722385406494141,14.7,30.3405572755418
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.546,1.13295865058899,"MANOVA",0.41,0.827419281005859,13.6,28.4518828451883
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.051,1.16360783576965,"MANOVA",0.052,0.815439462661743,0.1,1.94174757281554
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.552,1.09987306594849,"MANOVA",0.411,0.696759939193726,14.1,29.2834890965732
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.558,1.4963264465332,"MANOVA",0.411,0.719329357147217,14.7,30.3405572755418
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.12,1000,"MANTA",0.549,1.08260369300842,"MANOVA",0.411,0.753398180007935,13.8,28.75
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.443,1.11538338661194,"MANOVA",0.293,0.721899509429932,15,40.7608695652174
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.445,1.11288166046143,"MANOVA",0.293,0.72314453125,15.2,41.1924119241192
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.12,1000,"MANTA",0.063,1.18356227874756,"MANOVA",0.049,0.775410890579224,1.4,25
