"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA"
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.346,1.15540289878845
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.338,1.09779715538025
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.12,1000,"MANTA",0.339,1.22931838035583
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.791,1.12852668762207
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.783,1.11125159263611
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.067,1.13449597358704
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.79,1.06429886817932
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.786,1.08790588378906
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.15,1000,"MANTA",0.782,1.18362426757812
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.757,1.09994077682495
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.758,1.10943460464478
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.058,1.21868658065796
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.757,1.12589621543884
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.755,1.14044451713562
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.15,1000,"MANTA",0.753,1.05699372291565
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.661,1.12339019775391
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.66,1.10564184188843
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.066,1.16653823852539
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.661,1.11298727989197
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.661,1.11788296699524
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.15,1000,"MANTA",0.648,1.12874603271484
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.569,1.12311601638794
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.571,1.12641334533691
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.067,1.12656879425049
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.571,1.10314559936523
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.568,1.10810565948486
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.15,1000,"MANTA",0.568,1.05701446533203
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.499,1.11084008216858
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.503,1.09516763687134
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.059,1.15311765670776
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.501,1.10802745819092
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.499,1.12311911582947
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.8,0.15,1000,"MANTA",0.501,1.13532090187073
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.927,1.2280535697937
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.922,1.09300112724304
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.069,1.17364454269409
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.923,1.082594871521
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.927,1.08014464378357
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0,0.18,1000,"MANTA",0.926,1.07586169242859
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.893,1.1053614616394
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.889,1.10618162155151
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.061,1.21087718009949
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.892,1.2140474319458
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.895,1.08298134803772
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.2,0.18,1000,"MANTA",0.891,1.0997257232666
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.834,1.08421921730042
"Transformación logarítmica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.834,1.10581731796265
"Transformación Centered Log Ratio (clr)","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.067,1.16939377784729
"Transformación raíz cuadrada","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.835,1.09178709983826
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.833,1.12890672683716
"Normalización Min- Max","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.4,0.18,1000,"MANTA",0.833,1.1651930809021
"Datos sin transformar","mvnorm",0.05,1000,300,"equal",3,NA,NA,0.6,0.18,1000,"MANTA",0.768,1.12093424797058
