"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",0.906,1.10757994651794
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.01,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",0.993,1.17777609825134
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",0.987,1.14496445655823
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",0.987,1.21222639083862
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",0.984,1.122239112854
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.012,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",1,1.17781925201416
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",1,1.11581301689148
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",1,1.23474764823914
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",1,1.61400008201599
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.016,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",1,1.16898107528687
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",1,1.13189911842346
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",1,1.29069924354553
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",1,5.15144467353821
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.02,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",1,1.21556949615479
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",1,1.22113394737244
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",1,1.29317569732666
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",1,17.4473783969879
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.024,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.028,1000,"MANTA",1,1.29601454734802
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.028,1000,"MANTA",1,1.1252281665802
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,3,0.024,NA,0.028,1000,"MANTA",1,1.24086976051331
