"Datos","Modelo","alpha","S","n","q","Var","delta","Cor","loc","lambda","Pot_MANTA","tcomp_MANTA","Pot_MANOVA","tcomp_MANOVA","δ Potencia (%)","RPD Potencia (%)"
"Datos sin transformar","mvnorm",0.001,1000,300,3,"unequal",1,0.8,1,NA,1,1.40878105163574,1,0.698031663894653,0,0
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.049,1.07895994186401,0.052,0.641042470932007,0.3,5.94059405940593
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.042,1.02140855789185,0.052,0.69213342666626,1,21.2765957446808
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.044,1.05489349365234,0.052,0.686444520950317,0.8,16.6666666666667
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.049,1.27750968933105,0.052,0.717542409896851,0.3,5.94059405940593
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.047,1.06579089164734,0.052,0.700071334838867,0.5,10.1010101010101
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.966,1.07972478866577,0.964,0.662194490432739,0.2,0.207253886010363
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.949,1.06477332115173,0.888,0.931029558181763,6.09999999999999,6.64126292868807
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.912,1.06749296188354,0.777,0.699552297592163,13.5,15.9857904085258
"Escalado de datos por desviación típica","mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.85,1.39146304130554,0.661,0.694940328598022,18.9,25.0165453342157
